,Instituição financeira,Código,TCB,TD,TC,Cidade,UF,Data,Instituição Sujeita à Apuração da Exposição Total,Instituição Sujeita à Apuração do Patrimônio de Referência,Instituição Utiliza Metodologia Simplificada,Exposição Total ou Ativo Total (R$ mil),Total de Ativos Consolidados no Exterior (US$ mil),Data da Última Alteração de Segmento,SR,Unnamed: 15
34,BNP PARIBAS - PRUDENCIAL,1000080673.0,b1,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,28.744.906,NI,01/2017,S3,
35,GOLDMAN SACHS - PRUDENCIAL,1000080714.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,6.724.749,NI,01/2017,S3,
36,SICREDI - PRUDENCIAL,1000080745.0,b1,C,2.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,37.099.372,NI,01/2017,S3,
37,GMAC - PRUDENCIAL,1000080848.0,b2,C,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,10.762.365,NI,01/2017,S3,
38,BANCOOB - PRUDENCIAL,1000080879.0,b1,C,2.0,BRASILIA,DF,03/2017,Sim,Sim,Não,39.463.234,NI,01/2017,S3,
39,ORIGINAL - PRUDENCIAL,1000080903.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,8.081.583,67.354,01/2017,S3,
40,APE POUPEX - PRUDENCIAL,1000081184.0,n1,I,2.0,BRASILIA,DF,03/2017,Não,Sim,Não,6.345.827,NI,01/2017,S3,
41,BCO DA AMAZONIA S.A. - PRUDENCIAL,1000081249.0,b1,I,1.0,BELEM,PA,03/2017,Sim,Sim,Não,24.205.213,NI,01/2017,S3,
42,BD REGIONAL DO EXTREMO SUL - PRUDENCIAL,1000081311.0,b4,C,1.0,PORTO ALEGRE,RS,03/2017,Sim,Sim,Não,17.672.878,NI,01/2017,S3,
43,BCO DES. DE MG S.A. - PRUDENCIAL,1000081328.0,b4,I,1.0,BELO HORIZONTE,MG,03/2017,Sim,Sim,Não,7.392.111,NI,01/2017,S3,
44,BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL,1000081407.0,b2,I,3.0,CURITIBA,PR,03/2017,Sim,Sim,Não,7.550.234,NI,01/2017,S3,
45,BCO FIBRA S.A. - PRUDENCIAL,1000081483.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,6.780.214,199.857,01/2017,S3,
46,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,1000081555.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,23.962.113,0,01/2017,S3,
47,BCO CSF S.A. - PRUDENCIAL,1000081610.0,b2,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,7.146.480,NI,01/2017,S3,
48,BCO CLASSICO S.A. - PRUDENCIAL,1000081665.0,b1,C,2.0,RIO DE JANEIRO,RJ,03/2017,Sim,Sim,Não,8.852.738,NI,01/2017,S3,
49,BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL,1000081713.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,22.571.304,NI,01/2017,S3,
50,BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL,1000081720.0,b1,I,3.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,10.010.342,373.243,01/2017,S3,
51,BCO DAYCOVAL S.A - PRUDENCIAL,1000081744.0,b1,C,2.0,SAO PAULO,SP,03/2017,Sim,Sim,Não,21.231.423,91.474,01/2017,S3,
52,CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL,106180.0,b3C,I,2.0,CUIABA,MT,03/2017,Não,Sim,Não,166.137,NI,01/2017,S4,
53,COOPERATIVA DE CRÉDITO UNICRED CENTRAL MULTIRREGIONAL LTDA. - UCM,184068.0,b3C,I,2.0,BELO HORIZONTE,MG,03/2017,Não,Sim,Não,880.104,NI,01/2017,S4,
54,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE,309024.0,b3C,I,2.0,BELO HORIZONTE,MG,03/2017,Não,Sim,Não,4.252.295,NI,01/2017,S4,
55,CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.,315557.0,b3C,I,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,566.598,NI,01/2017,S4,
56,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR,543968.0,b3C,I,2.0,FLORIANOPOLIS,SC,03/2017,Não,Sim,Não,1.902.231,NI,01/2017,S4,
57,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL,692214.0,b3C,I,2.0,BRASILIA,DF,03/2017,Não,Sim,Não,618.327,NI,01/2017,S4,
58,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,966246.0,b3S,I,2.0,ITAI,SP,03/2017,Não,Sim,Não,324.716,NI,01/2017,S4,
59,COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER,1401771.0,b3C,I,2.0,FRANCISCO BELTRAO,PR,03/2017,Não,Sim,Não,2.384.968,NI,01/2017,S4,
60,CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS,1634601.0,b3C,I,2.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,1.393.871,NI,01/2017,S4,
61,"UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.",2398976.0,b3S,I,2.0,LONDRINA,PR,03/2017,Não,Sim,Não,1.650.203,NI,01/2017,S4,
62,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS PROFISSIONAIS MÉDICOS E DA SAÚDE DE CURITIBA E REGIÃO METROPOLITANA - SICREDI MEDICRED PR",2924977.0,b3S,I,2.0,CURITIBA,PR,03/2017,Não,Sim,Não,35.027,NI,01/2017,S4,
63,UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.,3046391.0,b3C,I,2.0,LONDRINA,PR,03/2017,Não,Sim,Não,1.509.202,NI,01/2017,S4,
64,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE DO BRASIL - SICOOB NORTE,3502131.0,b3C,I,2.0,PORTO VELHO,RO,03/2017,Não,Sim,Não,681.442,NI,01/2017,S4,
65,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE,3566655.0,b3S,I,2.0,SAO GABRIEL DO OESTE,MS,03/2017,Não,Sim,Não,538.921,NI,01/2017,S4,
66,CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL,3618104.0,b3C,I,2.0,PORTO ALEGRE,RS,03/2017,Não,Sim,Não,244.028,NI,01/2017,S4,
67,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DO ESTADO DE SANTA CATARINA   SICREDI SUL SC,3793242.0,b3S,I,2.0,CRICIUMA,SC,03/2017,Não,Sim,Não,289.121,NI,01/2017,S4,
68,"CENTRAL DAS COOPERATIVAS DE CRÉDITO DO BRASIL CENTRAL, AMAZONAS OCIDENTAL E MUNICÍPIO DE UBÁ",4243780.0,b3C,I,2.0,GOIANIA,GO,03/2017,Não,Sim,Não,956.291,NI,01/2017,S4,
69,CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB,5036532.0,b3C,I,2.0,MARINGA,PR,03/2017,Não,Sim,Não,1.811.914,NI,01/2017,S4,
70,COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED,5463212.0,b3C,I,2.0,BLUMENAU,SC,03/2017,Não,Sim,Não,2.781.941,NI,01/2017,S4,
71,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO SUDOESTE DE GOIÁS - SICREDI SUDOESTE GO,6332931.0,b3S,I,2.0,RIO VERDE,GO,03/2017,Não,Sim,Não,177.380,NI,01/2017,S4,
72,COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS,7202627.0,b3C,I,2.0,CHAPECO,SC,03/2017,Não,Sim,Não,993.848,NI,01/2017,S4,
73,COOPERATIVA DE CRÉDITO SOLIDÁRIO DA AGRICULTURA FAMILIAR DO OESTE POTIGUAR - CREDIOESTE-SOL,8418804.0,b3S,I,2.0,APODI,RN,03/2017,Não,Sim,Não,NI,NI,01/2017,S4,
74,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC,10348181.0,b3S,I,2.0,ITAPEMA,SC,03/2017,Não,Sim,Não,376.060,NI,01/2017,S4,
75,CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS DE CREDITO E ECONOMIA FAMILIAR E SOLIDARIA - CONFESOL,10398952.0,b3C,I,2.0,FLORIANOPOLIS,SC,03/2017,Não,Sim,Não,93.345,NI,01/2017,S4,
76,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL,10736214.0,b3S,I,2.0,CRISTALINA,GO,03/2017,Não,Sim,Não,346.366,NI,01/2017,S4,
77,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORDESTE DO PARÁ - SICREDI NORDESTE PA,10772401.0,b3S,I,2.0,PARAGOMINAS,PA,03/2017,Não,Sim,Não,122.261,NI,01/2017,S4,
78,COOPERATIVA CENTRAL DE CRÉDITO DO RIO DE JANEIRO LTDA.,14568725.0,b3C,I,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,682.457,NI,01/2017,S4,
79,COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER,21198087.0,b3C,I,2.0,PASSO FUNDO,RS,03/2017,Não,Sim,Não,355.718,NI,01/2017,S4,
80,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO",24654881.0,b3S,I,2.0,CAMPO GRANDE,MS,03/2017,Não,Sim,Não,652.412,NI,01/2017,S4,
81,COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS,25683434.0,b3C,I,2.0,BELO HORIZONTE,MG,03/2017,Não,Sim,Não,5.484.598,NI,01/2017,S4,
82,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS,26408161.0,b3S,I,2.0,DOURADOS,MS,03/2017,Não,Sim,Não,1.310.575,NI,01/2017,S4,
83,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS,26408187.0,b3S,I,2.0,MARACAJU,MS,03/2017,Não,Sim,Não,338.841,NI,01/2017,S4,
84,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT",26529420.0,b3S,I,2.0,LUCAS DO RIO VERDE,MT,03/2017,Não,Sim,Não,1.802.824,NI,01/2017,S4,
85,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DE MATO GROSSO - SICREDI SUL MT,26549311.0,b3S,I,2.0,RONDONOPOLIS,MT,03/2017,Não,Sim,Não,561.145,NI,01/2017,S4,
86,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT",26555235.0,b3S,I,2.0,SORRISO,MT,03/2017,Não,Sim,Não,1.526.504,NI,01/2017,S4,
87,COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES,32428294.0,b3C,I,2.0,VITORIA,ES,03/2017,Não,Sim,Não,2.204.739,NI,01/2017,S4,
88,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CERRADO - SICREDI VALE DO CERRADO,32983165.0,b3S,I,2.0,CAMPO VERDE,MT,03/2017,Não,Sim,Não,601.283,NI,01/2017,S4,
89,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA",32995755.0,b3S,I,2.0,TANGARA DA SERRA,MT,03/2017,Não,Sim,Não,910.283,NI,01/2017,S4,
90,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU",33021064.0,b3S,I,2.0,CANARANA,MT,03/2017,Não,Sim,Não,1.019.337,NI,01/2017,S4,
91,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NOROESTE DE MATO GROSSO E ACRE - SICREDI NOROESTE MT E ACRE,33022690.0,b3S,I,2.0,ARAPUTANGA,MT,03/2017,Não,Sim,Não,405.350,NI,01/2017,S4,
92,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DE FURNAS E DEMAIS EMPRESAS DO SISTEMA ELETROBRÁS LTDA.,33370115.0,b3S,I,2.0,RIO DE JANEIRO,RJ,03/2017,Não,Sim,Não,435.790,NI,01/2017,S4,
93,COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA,33416108.0,b3C,I,2.0,GOIANIA,GO,03/2017,Não,Sim,Não,1.686.148,NI,01/2017,S4,
94,COOPERATIVA CENTRAL DE CRÉDITO DO CENTRO NORTE DO BRASIL   CENTRAL SICREDI CENTRO NORTE,33667205.0,b3C,I,2.0,CUIABA,MT,03/2017,Não,Sim,Não,3.769.949,NI,01/2017,S4,
95,"COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL",33737818.0,b3C,I,2.0,GOIANIA,GO,03/2017,Não,Sim,Não,1.572.917,NI,01/2017,S4,
96,COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA - SICOOB CENTRAL BA,34148882.0,b3C,I,2.0,SALVADOR,BA,03/2017,Não,Sim,Não,391.960,NI,01/2017,S4,
97,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NORTE MATO-GROSSENSE - SICREDI NORTE MT,37442605.0,b3S,I,2.0,COLIDER,MT,03/2017,Não,Sim,Não,772.216,NI,01/2017,S4,
98,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DE MINAS GERAIS E NORDESTE DE SÃO PAULO LTDA - SICOOB AGROCREDI,42873828.0,b3S,I,2.0,GUAXUPE,MG,03/2017,Não,Sim,Não,850.395,NI,01/2017,S4,
99,SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.,42898825.0,b3S,I,2.0,BELO HORIZONTE,MG,03/2017,Não,Sim,Não,1.887.266,NI,01/2017,S4,
100,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA,44469161.0,b3S,I,2.0,GUARIBA,SP,03/2017,Não,Sim,Não,1.108.697,NI,01/2017,S4,
101,COOPERATIVA DE CRÉDITO COOCRELIVRE,53935029.0,b3S,I,2.0,ORLANDIA,SP,03/2017,Não,Sim,Não,238.956,NI,01/2017,S4,
102,COOPERATIVA DE CREDITO CREDICITRUS,54037916.0,b3S,I,2.0,BEBEDOURO,SP,03/2017,Não,Sim,Não,4.996.152,NI,01/2017,S4,
103,"COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA, AGROPECUARISTAS E EMPRESÁRIOS DA REGIÃO DE PIRACICABA",54401286.0,b3S,I,2.0,PIRACICABA,SP,03/2017,Não,Sim,Não,447.211,NI,01/2017,S4,
104,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS POLICIAIS MILITARES E SERVIDORES DA SECRETARIA DOS NEGÓCIOS DA SEGURANÇA PÚBLICA DO ESTADO DE SÃO PAULO,62673470.0,b3S,I,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,352.415,NI,01/2017,S4,
105,CENTRAL DAS COOPERATIVAS DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB CENTRAL CECRESP,62931522.0,b3C,I,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,1.180.520,NI,01/2017,S4,
106,COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO,63917579.0,b3C,I,2.0,RIBEIRAO PRETO,SP,03/2017,Não,Sim,Não,4.661.654,NI,01/2017,S4,
107,COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DA ALTA MOGIANA,67096909.0,b3S,I,2.0,FRANCA,SP,03/2017,Não,Sim,Não,290.039,NI,01/2017,S4,
108,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO MOGI GUAÇU E SUDOESTE PAULISTA - SICOOB CREDIGUAÇU,67960229.0,b3S,I,2.0,DESCALVADO,SP,03/2017,Não,Sim,Não,291.821,NI,01/2017,S4,
109,COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE,70119680.0,b3C,I,2.0,CABEDELO,PB,03/2017,Não,Sim,Não,2.434.228,NI,01/2017,S4,
110,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO,70431630.0,b3S,I,2.0,JUINA,MT,03/2017,Não,Sim,Não,624.324,NI,01/2017,S4,
111,COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA,71328769.0,b3S,I,2.0,SERTAOZINHO,SP,03/2017,Não,Sim,Não,2.765.170,NI,01/2017,S4,
112,COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO  - SICOOB UNIMAIS,73085573.0,b3C,I,2.0,SAO PAULO,SP,03/2017,Não,Sim,Não,776.632,NI,01/2017,S4,
113,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO PROGRESSO - SICREDI PROGRESSO PR/SP,76059997.0,b3S,I,2.0,TOLEDO,PR,03/2017,Não,Sim,Não,453.413,NI,01/2017,S4,
114,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ,78414067.0,b3S,I,2.0,MEDIANEIRA,PR,03/2017,Não,Sim,Não,2.142.225,NI,01/2017,S4,
115,"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP",79052122.0,b3S,I,2.0,MARECHAL CANDIDO RONDON,PR,03/2017,Não,Sim,Não,607.579,NI,01/2017,S4,
116,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PARANAPANEMA PR/SP - SICREDI PARANAPANEMA PR/SP",79086997.0,b3S,I,2.0,CAMBARA,PR,03/2017,Não,Sim,Não,291.204,NI,01/2017,S4,
117,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP,79342069.0,b3S,I,2.0,MARINGA,PR,03/2017,Não,Sim,Não,2.211.786,NI,01/2017,S4,
118,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP,79457883.0,b3S,I,2.0,MANDAGUARI,PR,03/2017,Não,Sim,Não,682.255,NI,01/2017,S4,
119,COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS,80160260.0,b3C,I,2.0,FLORIANOPOLIS,SC,03/2017,Não,Sim,Não,5.772.810,NI,01/2017,S4,
120,COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO INTEGRAÇÃO - SICREDI INTEGRAÇÃO PR/SC,81054686.0,b3S,I,2.0,LAPA,PR,03/2017,Não,Sim,Não,387.375,NI,01/2017,S4,
121,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP,81099491.0,b3S,I,2.0,PALOTINA,PR,03/2017,Não,Sim,Não,1.479.396,NI,01/2017,S4,
