Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;460.762.211;1.924.249;4.481.117;12.228.032;24.467.257;12.251.439;258.042;0;55.610.136;1.052.616;1.428.740;3.038.072;3.418.444;296.526;1;415;9.234.814;430.386;1.456.491;3.523.880;5.057.232;710.446;146;0;11.178.581;1.840.733;11.341.226;30.319.342;68.292.106;53.752.615;138.367.489;49.579.100;353.492.610;2.454.629;5.789.986;1.548.102;112.662;534;0;0;9.905.914;222.685;1.533.414;878.666;465.806;341.017;155.504;0;3.597.091;2.273.319;4.380.309;4.244.970;3.270.848;1.740.037;1.732.256;101.324;17.743.064;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;7.611.083;19.333;349.909;887.351;1.953.978;879.767;275.780;0;4.366.119;18.122;287.174;511.357;636.169;146.645;13.030;0;1.612.496;2.947;21.335;54.844;83.302;15.076;6;0;177.511;721;24.711;53.106;137.854;129.530;173.817;0;519.739;6;2.455;193;0;0;0;0;2.654;13.884;140.423;73.770;76.149;53.074;60.278;101;417.679;16.785;47.704;167.194;101.448;39.235;13.491;129.030;514.886;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2015;7.591.373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.922;951.766;1.429.176;1.466.903;545.999;346.661;0;4.772.428;50.941;346.278;730.549;1.061.803;520.482;108.893;0;2.818.945;0
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;7.282.400;6.255;149.868;412.425;730.967;345.073;107.726;0;1.752.314;2.367;125.629;143.104;152.284;32.992;11.430;0;467.806;31.021;541.058;1.269.419;1.461.105;146.518;33;0;3.449.152;33;119;543;886;516;968;0;3.064;2.574;92.514;21.277;22;0;0;0;116.387;276;14.711;26.233;19.520;8.643;1.173;0;70.556;2.613;1.051.093;233.393;44.506;4.012;509;0;1.336.125;86.995
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;6.465.944;34.328;345.077;1.041.537;1.901.324;794.784;200.743;0;4.317.793;46;1.651;3.983;119;0;0;0;5.800;278;464;429;12;0;0;0;1.183;0;0;0;0;0;0;0;0;184.928;1.321.343;485.630;32.314;0;0;0;2.024.215;0;0;938;0;0;0;0;938;20.503;31.362;47.265;16.885;1;0;0;116.016;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;6.223.696;30.903;392.864;1.084.112;2.033.718;1.073.735;410.709;0;5.026.042;10.158;61.388;76.145;51.444;7.036;23;0;206.195;34.211;127.565;285.356;317.814;28.145;4;0;793.095;0;0;0;0;0;0;0;0;3.503;17.919;558;2;3;0;0;21.984;0;0;0;1.538;0;0;0;1.538;1.336;126.171;29.487;11.771;1.490;4.535;51;174.842;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;5.512.490;11.264;33.409;72.103;94.667;20.193;47;0;231.682;31.685;147.341;270.151;430.837;73.684;0;0;953.697;569;1.478;2.140;0;0;0;0;4.186;612;14.052;33.590;87.354;80.917;324.142;256.374;797.042;228.292;2.357.930;484.726;139.593;257;0;0;3.210.799;0;30.380;29.287;0;0;0;0;59.667;45.922;188.207;13.109;7.792;388;0;0;255.417;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;5.123.880;62.059;385.506;959.292;1.402.435;433.923;65.815;0;3.309.029;40.693;177.409;413.793;493.860;101.333;6.970;0;1.234.058;3.446;17.822;39.965;38.762;1.996;0;0;101.992;10;305;812;1.393;1.243;876;0;4.640;20.944;107.023;0;0;0;0;0;127.967;0;10.116;22.578;11.258;21.964;13.923;0;79.839;47.550;84.530;94.967;30.427;7.599;1.283;0;266.356;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;5.119.197;126.545;251.591;603.645;772.541;186.692;54.388;203;1.995.604;2.435;9.678;58.844;48.527;434;219;0;120.136;104.039;231.249;474.219;429.394;36.219;0;0;1.275.119;0;0;0;0;0;0;0;0;146.543;1.529.028;6.303;1.457;120;0;0;1.683.453;0;0;0;0;0;0;0;0;320;996;2.447;6.772;7.216;26.947;187;44.885;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;5.025.960;0;227;649;1.107;508;151;0;2.643;0;2.047;270;251;87;0;0;2.655;0;6.613;18.463;44.472;30.550;31.153;0;131.251;0;511;1.129;3.067;2.955;12.234;9.277;29.173;0;0;0;0;0;0;0;0;0;157.779;635.386;1.377.145;1.229.426;1.397.135;0;4.796.870;2.659;8.317;20.629;27.319;4.362;81;0;63.368;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;4.425.473;523;13.439;36.579;60.583;22.162;1.156;7;134.449;3.817;7.635;18.449;16.934;275;4;0;47.115;0;0;0;0;0;0;0;0;0;2;5;14;14;68;140;243;4.479;24.191;7.182;14;0;0;0;35.865;493.589;29.300;9.425;5.726;20.426;658.319;0;1.216.785;50.904;1.838.808;1.049.887;42.798;6.919;1.702;0;2.991.016;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;06/2015;4.379.773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;799.273;2.527.932;955.623;96.899;23;23;0;4.379.773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;06/2015;4.006.807;1.700;7.323;20.303;19.941;2.636;6;0;51.908;243;2.041;4.621;2.102;194;0;0;9.201;5.661;64.914;157.336;183.212;18.325;13;0;429.462;0;0;0;0;0;0;0;0;327.673;2.385.602;537.929;258.225;6.790;6;0;3.516.225;0;0;0;0;0;0;0;0;0;1;5;6;0;0;0;12;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;06/2015;3.889.487;0;0;0;0;0;0;0;0;310;555;1.810;2.204;1.612;1.593;0;8.085;215;204;267;4;0;0;0;689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.610;321.530;885.137;1.599.855;811.202;200.873;0;3.878.207;150;171;938;1.118;128;0;0;2.506;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;06/2015;3.809.939;0;0;0;0;0;0;0;0;1.666;2.472;30.991;46.937;3.591;767;0;86.424;438;3.333;23.551;32.224;1.448;0;0;60.993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.918;21.189;833.178;1.109.911;887.613;364.020;0;3.258.829;1.669;35;120.066;225.148;55.176;1.599;0;403.693;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2015;3.276.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.707;115.657;341.597;758.954;793.815;1.163.230;185;3.186.146;2.451;4.450;13.277;27.611;20.171;22.395;0;90.354;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;06/2015;3.203.695;3.996;149.344;580.359;991.464;393.877;125.938;0;2.244.977;21.564;187.984;345.220;275.333;45.440;3.576;9;879.126;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;10;10.987;39.152;10.331;94;0;0;0;60.564;0;143;2.391;334;354;3.325;0;6.547;8.042;2.071;2.359;0;0;0;0;12.472;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;06/2015;3.176.517;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;57.320;601.766;1.243.155;1.174.788;99.471;12;0;3.176.513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;06/2015;3.103.252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;847;2.010;1.623;78;0;0;4.726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.616;71.836;666.668;1.146.548;729.545;277.809;0;2.920.022;9.798;40.441;47.732;59.259;15.874;5.399;0;178.503;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;06/2015;3.083.244;16.499;233.075;630.097;1.177.749;594.270;172.963;0;2.824.653;12.643;74.201;70.607;5.105;5;0;0;162.562;1;2;1;0;0;0;0;4;0;0;0;0;0;0;0;0;3.296;6.428;0;0;0;0;0;9.724;0;0;0;0;0;0;0;0;12.481;9.150;12.604;17.151;11.653;21.149;2.114;86.302;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;06/2015;3.012.090;4.788;170.000;428.160;705.470;279.618;73.871;0;1.661.907;162;71.412;60.980;22.680;2.086;30;0;157.350;5.841;230.638;511.076;411.575;29.850;24;0;1.189.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;505;893;265;4;0;1.825;0;1.961;43;0;0;0;0;2.004;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;2.782.997;1.107;30.004;80.343;163.455;71.241;2.452;0;348.604;78;3.624;8.997;19.542;7.838;2.612;0;42.691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.066;248.544;679.249;236;3;0;0;954.098;0;46.203;149.718;311.920;280.158;343.384;89;1.131.472;1.036;32.612;79.705;124.967;67.226;585;0;306.131;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;2.586.390;0;0;0;0;0;0;0;0;1.414;129.100;282.044;477.509;3.672;0;0;893.740;0;0;0;0;0;0;0;0;0;20;10;0;0;0;0;30;0;0;0;0;0;0;0;0;18;0;4.167;6.195;5.473;30.444;0;46.297;835;61.721;35.769;11.149;2.280;571;0;112.324;1.534.000
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;06/2015;2.444.213;711;516;1.511;859;2;0;0;3.600;114.597;148.351;95.097;478;0;0;0;358.523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;465.141;1.230.934;384.781;1.234;0;0;0;2.082.090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;06/2015;2.345.121;4.182;86.247;251.027;450.432;187.422;28.154;0;1.007.465;6.383;42.356;97.445;86.706;6.608;41;0;239.540;2.338;14.602;37.085;50.862;6.318;2;0;111.205;85;2.237;5.782;15.008;14.416;63.157;56.134;156.819;22.569;198.784;675;0;0;0;0;222.027;6.832;28.833;207.431;93.753;29.723;1.021;0;367.592;17.053;97.916;58.360;50.876;10.193;6.052;23;240.473;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;06/2015;1.997.382;0;0;0;0;0;0;0;0;453.282;1.011.373;530.940;1.788;0;0;0;1.997.382;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;06/2015;1.704.102;1;184;682;893;12;0;0;1.772;7.721;106.005;87.154;60.779;7.654;6.323;0;275.637;785;12.968;32.173;44.130;5.131;7;0;95.193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.858;403.659;600.716;111.855;7.161;1.019;0;1.145.268;3.522;110.202;63.284;7.376;1.527;320;0;186.232;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2015;1.467.154;7.045;79.055;192.270;270.949;86.548;14.087;0;649.954;42.969;40.389;38.951;4.978;61;0;0;127.348;29.209;124.914;268.024;256.021;11.684;0;0;689.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;06/2015;1.433.016;0;0;0;0;0;0;0;0;6.083;68.776;172.477;297.267;168.915;115.810;0;829.329;0;0;0;0;0;0;0;0;294;3.034;9.640;25.103;24.340;104.792;85.032;252.236;0;231.230;0;0;0;0;0;231.230;1.196;5.567;12.079;24.295;11.922;12.779;0;67.839;2.363;13.867;35.692;460;0;0;0;52.382;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;06/2015;1.395.646;6;324;841;643;0;0;0;1.814;7.434;121.119;293.426;348.822;43.290;467;0;814.559;2.791;24.272;63.997;76.380;4.541;9;0;171.990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.892;91.647;178.196;119.101;12.028;420;0;407.283;0
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;1.369.665;6.076;68.790;193.920;289.878;109.099;24.270;0;692.033;813;27.806;23.445;356;57;17;0;52.494;0;0;0;0;0;0;0;0;2.139;8.966;20.564;56.053;54.470;219.427;21.250;382.869;78;1.001;415;910;408;0;0;2.813;0;0;0;0;0;0;0;0;2.176;9.803;20.067;59.966;61.887;85.556;0;239.455;0
PSA FINANCE;51.365;b2;C;3;;198;SAO PAULO;SP;06/2015;1.334.912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.183;200.662;515.708;568.035;40.319;4;0;1.334.912;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;06/2015;1.276.969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;46;48;71;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.713;33.688;130.410;320.792;300.730;481.655;998;1.274.986;134;38;722;508;240;151;0;1.794;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;;9;BRASILIA;DF;06/2015;1.219.194;279;26.148;92.494;142.251;125.852;45.357;0;432.381;6.315;52.397;163.760;264.748;227.320;72.273;0;786.812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;1.194.439;10.119;79.884;215.561;342.197;111.888;23.245;0;782.893;2.302;4.867;9.238;12.752;1.162;79;34;30.435;8.808;38.958;93.065;129.628;15.490;218;41;286.208;0;51;133;313;294;1.124;322;2.236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;433;14.700;30.242;24.213;19.410;3.668;0;92.667;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;;9;SERTAOZINHO;SP;06/2015;1.119.877;0;0;0;0;0;0;0;0;2.726;30.590;52.982;63.393;25.353;5.752;0;180.795;56;955;2.369;3.114;384;0;0;6.877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.301;66.762;330.725;351.071;3.157;24.005;0;784.020;3.117;36.987;45.672;26.112;26.004;10.293;0;148.185;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;;25;BRASILIA;DF;06/2015;1.095.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.202;46.902;121.172;253.806;248.449;314.174;98.742;1.086.446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;261;719;1.698;1.449;4.147;652;9.054;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;06/2015;1.087.163;0;0;0;0;0;0;0;0;0;16.292;85.304;0;0;0;0;101.596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.857;85.174;719.312;166.225;0;0;0;985.567;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;06/2015;1.079.477;313;2.169;5.014;5.281;817;1;0;13.595;4.148;24.751;57.624;67.844;21.280;3.019;0;178.666;33;116;232;267;1;0;0;649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.765;116.600;162.833;295.628;97.773;86.370;0;801.968;5.526;61.006;17.841;225;0;0;0;84.599;0
