Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2018;519.581.230;2.707.494;5.828.547;14.692.750;24.408.464;10.990.032;4.339.907;865;62.968.060;637.166;692.542;1.829.568;1.509.694;336;0;18.789;4.688.095;295.583;953.043;2.033.244;1.713.776;47.091;59;1.367;5.044.163;1.592.184;12.691.119;34.043.692;77.716.109;62.163.775;167.565.052;63.406.588;419.178.517;1.504.850;5.626.708;1.801.563;120.407;8.703;7.399;0;9.069.630;187.217;1.690.177;1.141.698;818.924;289.054;140.537;0;4.267.606;1.995.212;3.895.527;3.185.294;2.673.759;1.334.891;1.216.883;63.594;14.365.159;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2018;7.769.925;20.482;373.250;906.790;1.851.128;952.280;360.865;0;4.464.794;13.567;283.881;467.246;716.427;312.311;122.619;0;1.916.051;2.503;14.594;32.583;35.657;4.304;0;0;89.640;579;28.537;82.515;215.766;203.769;235.349;0;766.515;4;619;51;0;0;0;0;675;4.641;19.307;80.446;53.784;33.068;23.475;0;214.722;6.045;61.048;98.007;21.734;10.929;4.895;114.870;317.528;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2018;7.620.237;17.115;57.607;128.274;136.063;35.803;10.982;54;385.898;112.074;152.132;166.332;63.760;119;0;0;494.416;2.780;3.653;5.199;1.477;21;0;0;13.129;0;0;0;0;0;0;0;0;371.496;5.993.215;91.706;55.879;7.448;0;0;6.519.744;0;0;0;0;0;0;0;0;6.494;1.764;7.654;15.963;4.846;12.435;0;49.155;157.894
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2018;7.320.859;1;17.093;43.386;61.397;19.749;2.586;0;144.211;0;32;63;46;46;46;0;233;0;4.966;12.483;23.542;16.715;5.737;0;63.443;0;2.484;4.135;10.474;10.326;44.683;36.249;108.351;0;0;0;0;0;0;0;0;0;441.557;894.328;2.339.054;1.770.428;1.546.828;0;6.992.195;304;1.898;3.922;3.916;857;1.529;0;12.426;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;03/2018;6.750.395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.550;1.094.597;2.511.185;2.713.498;352.103;463;0;6.750.395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2018;6.432.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;870.636;3.691.997;1.623.555;246.663;0;0;0;6.432.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2018;5.788.601;1.577;10.164;28.037;27.332;3.958;7;0;71.076;1.049;12.900;29.535;14.680;2;0;0;58.165;9.621;92.640;216.895;279.010;40.241;55;0;638.462;0;0;0;0;0;0;0;0;373.567;3.377.364;1.210.652;55.012;4.303;0;0;5.020.898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2018;5.743.929;69.205;357.106;974.788;1.850.462;963.680;355.449;0;4.570.689;8.089;13.107;82.850;12.968;578;7;0;117.599;25.583;99.763;215.383;223.727;18.998;1;0;583.455;0;0;0;0;0;0;0;0;17.013;306.004;3.977;515;76;0;0;327.585;0;0;282;0;0;0;0;282;16.098;26.015;39.305;22.929;6.106;27.069;45;137.566;6.753
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;03/2018;5.484.115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.197;1.253.693;103.271;1.996.039;1.332.969;571.445;0;5.280.615;3.841;82.396;31.608;83.308;2.176;171;0;203.500;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2018;5.075.749;933;9.775;22.793;24.573;1.990;0;0;60.064;305;478;1.124;850;21;0;0;2.779;61.201;757.582;1.825.453;2.127.482;240.643;545;0;5.012.906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2018;4.853.574;1.537;61.547;157.668;325.425;143.179;11.814;0;701.170;446;8.860;23.347;42.009;14.984;1.651;0;91.297;0;0;0;4;4;2;0;10;0;140;282;751;749;3.517;3.280;8.720;20.885;413.936;1.743.151;1.790;1;0;0;2.179.762;0;96.683;213.807;564.844;461.205;469.990;56;1.806.586;896;7.012;33.449;24.274;336;63;0;66.029;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2018;4.737.566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;213;471;399;19;0;0;1.106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.386;1.009.196;184.946;1.881.322;1.084.903;458.654;0;4.624.408;4.442;50.127;20.200;31.604;5.653;26;0;112.052;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;03/2018;4.318.184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;2.993.312;788.078;216;0;0;0;3.781.868;0;0;0;0;0;0;0;0;210.105;265.056;61.045;109;0;0;0;536.316;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;03/2018;4.138.949;0;0;0;0;0;0;0;0;18;158;1.129;1.907;821;0;0;4.033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.984;495.963;809.215;1.681.628;818.256;278.709;0;4.117.755;96;799;3.472;6.927;4.480;1.386;0;17.160;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2018;4.080.597;530;15.601;40.130;51.021;9.059;300;0;116.640;2.888;8.983;17.779;12.519;58;6;0;42.233;0;0;0;0;0;0;0;0;0;2;6;15;15;74;132;243;7.793;39.123;11.211;2;0;0;0;58.129;30.287;5.789;9.825;69.052;757.829;13.490;0;886.271;77.188;1.958.915;912.442;25.784;1.644;1.101;8;2.977.081;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2018;4.058.891;14.804;228.916;563.966;791.154;264.863;63.100;0;1.926.801;94.280;281.974;602.949;418.119;48.657;8.702;0;1.454.682;653;2.606;4.574;3.424;511;0;0;11.768;11;1.085;3.783;8.091;6.289;17.085;7.781;44.126;26.349;236.289;39.996;580;0;0;0;303.214;19.288;6.827;41.205;48.273;6.673;4.937;0;127.202;38.472;70.895;55.729;19.729;4.640;1.401;232;191.098;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;03/2018;3.894.613;8.491;194.560;724.401;1.142.465;461.439;181.320;0;2.712.676;23.063;217.494;401.726;308.669;45.743;139;0;996.834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.938;29.821;10.268;1.162;0;0;0;46.189;0;0;472;4.341;344;615;0;5.772;5.667;17.705;36.934;46.778;17.205;8.791;62;133.142;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;03/2018;3.722.892;0;0;0;0;0;0;0;0;0;90;180;138;0;0;0;408;11.256;479.324;1.194.545;1.920.994;94.224;124;0;3.700.468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;3.705;8.522;9.095;446;0;0;22.016;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2018;3.703.394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.272;239.216;469.708;1.306.635;882.053;721.401;141;3.634.425;881;6.921;7.959;25.896;16.194;11.118;0;68.969;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2018;3.511.717;37.810;293.969;766.258;1.351.939;661.295;263.700;0;3.374.971;17.325;26.214;23.887;1.674;0;0;0;69.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.149;9.244;10.941;13.066;7.230;11.540;477;67.647;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2018;3.361.313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67.080;556.528;1.272.886;1.368.100;96.708;10;0;3.361.312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2018;3.279.343;211;756;1.678;642;0;0;0;3.287;125.314;191.869;126.417;3.215;0;0;0;446.816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576.411;1.685.010;566.079;1.741;0;0;0;2.829.241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2018;3.136.321;3.694;209.910;533.716;842.702;356.625;158.585;0;2.105.232;242;20.260;24.779;21.128;766;48;0;67.224;3.872;171.670;380.063;374.590;26.071;86;0;956.352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;159;92;0;0;0;422;274;4.149;2.389;179;103;0;0;7.092;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2018;2.364.156;4.064;84.168;260.325;468.924;245.108;80.049;0;1.142.639;3.060;32.146;70.230;55.128;10.832;263;0;171.659;692;3.768;8.591;9.991;2.148;13;0;25.203;139;4.147;12.342;32.083;31.084;131.435;110.684;321.914;11.253;257.535;10.624;6.736;0;0;0;286.147;6.941;10.465;95.426;101.643;22.910;550;0;237.935;12.286;58.935;48.722;36.870;6.494;15.335;16;178.659;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;03/2018;2.309.120;323;1.574;4.200;596;0;0;0;6.694;136;70;0;0;0;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;667.073;753.281;22.772;0;0;0;1.443.179;0;0;0;0;0;0;0;0;670.013;127.299;58.701;3.029;0;0;0;859.042;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2018;2.271.901;17.797;177.549;469.100;832.977;390.017;108.636;0;1.996.076;47;364;755;1.000;271;305;50;2.792;12.355;36.749;77.989;89.411;5.152;0;0;221.656;0;39;110;283;293;1.001;269;1.994;66;963;0;0;0;0;0;1.028;0;0;0;0;0;0;0;0;2.130;2.476;10.316;27.941;5.165;327;0;48.355;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;03/2018;2.152.799;9.222;62.836;180.093;291.423;107.857;38.664;1;690.095;11;50;132;230;89;37;0;548;0;0;0;0;0;0;0;0;6.922;26.765;58.438;137.599;122.308;403.395;64.036;819.463;15.758;182.752;0;0;0;0;0;198.510;0;0;0;0;0;0;0;0;5.291;18.887;41.630;106.750;94.366;176.989;270;444.182;0
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;03/2018;2.067.781;0;3;7;1;0;0;0;11;570.143;860.016;636.185;1.427;0;0;0;2.067.770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2018;2.056.805;0;0;0;0;0;0;0;0;93.462;138.583;158.802;53.516;2.215;0;0;446.578;97.933;274.945;533.821;455.530;33.409;0;0;1.395.639;0;0;0;0;0;0;0;0;53.162;98.478;17.554;423;0;0;0;169.616;0;0;0;0;0;0;0;0;7.295;24.501;13.152;24;0;0;0;44.971;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2018;2.016.450;1;238;889;1.197;2;0;0;2.326;9.267;89.938;181.443;109.719;74.999;2.618;0;467.983;236;9.738;24.730;37.813;7.157;19;0;79.693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.780;101.578;1.024.112;162.893;29.417;870;0;1.336.650;3.148;49.325;67.386;9.883;15;42;0;129.798;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;03/2018;1.814.024;2.990;47.046;102.033;255.064;183.654;155.853;48;746.688;5.371;86.604;93.324;89.404;42.829;24.077;87;341.696;0;0;0;0;0;0;0;0;374;4.500;13.897;36.036;34.375;144.267;119.508;352.956;0;231.696;37.673;95;0;0;0;269.464;569;4.950;6.495;12.332;11.259;13.637;0;49.241;3.032;26.100;24.649;194;3;0;0;53.978;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;03/2018;1.722.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.558;61.970;188.258;441.930;234.237;504.337;261.531;1.703.819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;374;1.025;2.620;2.489;9.297;2.229;18.264;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2018;1.620.118;14;481;1.263;1.306;0;0;0;3.064;11.264;156.870;353.357;402.925;51.677;7.406;0;983.499;399;6.036;14.915;21.902;3.592;7;0;46.852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.203;112.548;238.711;196.174;23.235;4.831;0;586.703;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2018;1.526.553;712;27.366;32.437;60.736;36.194;8.689;0;166.134;10.880;183.409;286.289;498.954;306.384;74.502;0;1.360.419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;03/2018;1.319.352;188;5.933;15.501;24.664;11.642;2.754;0;60.681;223.638;321.591;322.466;790;0;0;0;868.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.646;232.603;75.420;5;0;0;0;385.674;0;0;0;0;0;0;0;0;2.131;124;2.061;195;0;0;0;4.512;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2018;1.186.822;437;17.494;50.859;106.615;54.715;43.915;0;274.035;2.866;26.385;34.212;31.593;2.275;54;0;97.386;66;1.172;3.084;4.300;588;0;0;9.210;0;0;0;0;0;0;0;0;6.837;53.295;15.104;138;2;0;0;75.375;4.825;196.857;255.171;76.058;18.081;1.085;0;552.076;11.273;61.335;58.918;32.408;10.969;3.480;356;178.740;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2018;1.181.827;0;0;0;0;0;0;0;0;16.541;37.572;93.015;135.431;61.839;50.424;0;394.824;87;1.049;2.727;4.244;456;0;0;8.562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.198;96.484;424.238;80.045;26.042;12.338;0;645.346;4.378;26.679;22.632;44.003;26.108;9.295;0;133.095;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;03/2018;1.145.071;0;0;0;0;0;0;0;0;1.117;51.376;6.070;35.945;0;0;0;94.509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.864;473.510;374.357;155.890;15.378;18.563;0;1.050.562;0
